,SUBZONE UPPER,Population
0,,4180870
276,,159340
552,ANG MO KIO TOWN CENTRE,4850
828,CHENG SAN,26970
1104,CHONG BOON,25190
1380,KEBUN BAHRU,21980
1656,SEMBAWANG HILLS,6950
1932,SHANGRI-LA,17460
2208,TAGORE,7980
2484,TOWNSVILLE,20010
2760,YIO CHU KANG,10
3036,YIO CHU KANG EAST,4380
3312,YIO CHU KANG NORTH,-
3588,YIO CHU KANG WEST,23570
3864,TOTAL,276840
4140,BAYSHORE,8000
4416,BEDOK NORTH,81550
4692,BEDOK RESERVOIR,25190
4968,BEDOK SOUTH,48360
5244,FRANKEL,35030
5520,KAKI BUKIT,35440
5796,KEMBANGAN,35890
6072,SIGLAP,7390
6348,TOTAL,87930
6624,BISHAN EAST,27460
6900,MARYMOUNT,28800
7176,UPPER THOMSON,31670
7452,TOTAL,20
7728,LIU FANG,10
8004,SAMULUN,-
8280,SHIPYARD,-
8556,TUKANG,10
8832,TOTAL,167750
9108,BRICKWORKS,31090
9384,BUKIT BATOK CENTRAL,27320
9660,BUKIT BATOK EAST,12070
9936,BUKIT BATOK SOUTH,14520
10212,BUKIT BATOK WEST,14350
10488,GOMBAK,9770
10764,GUILIN,12830
11040,HILLVIEW,20660
11316,HONG KAH NORTH,25140
11592,TOTAL,148270
11868,ALEXANDRA HILL,12880
12144,ALEXANDRA NORTH,2880
12420,BUKIT HO SWEE,13430
12696,BUKIT MERAH,1000
12972,CITY TERMINALS,20
13248,DEPOT ROAD,6530
13524,EVERTON PARK,7510
13800,HENDERSON HILL,12770
14076,KAMPONG TIONG BAHRU,9800
14352,MARITIME SQUARE,4820
14628,REDHILL,10980
14904,SINGAPORE GENERAL HOSPITAL,-
15180,TELOK BLANGAH DRIVE,19100
15456,TELOK BLANGAH RISE,11530
15732,TELOK BLANGAH WAY,8330
16008,TIONG BAHRU,12130
16284,TIONG BAHRU STATION,14570
16560,TOTAL,138050
16836,BANGKIT,21010
17112,DAIRY FARM,7860
17388,FAJAR,26420
17664,JELEBU,29960
17940,NATURE RESERVE,3980
18216,SAUJANA,25000
18492,SENJA,23830
18768,TOTAL,83570
19044,ANAK BUKIT,22960
19320,CORONATION ROAD,7480
19596,FARRER COURT,7330
19872,HILLCREST,9870
20148,HOLLAND ROAD,11640
20424,LEEDON PARK,6900
20700,SWISS CLUB,6110
20976,ULU PANDAN,11290
21252,TOTAL,-
21528,CENTRAL WATER CATCHMENT,-
21804,TOTAL,1950
22080,CHANGI AIRPORT,-
22356,CHANGI POINT,560
22632,CHANGI WEST,1390
22908,TOTAL,-
23184,CHANGI BAY,-
23460,TOTAL,190180
23736,CHOA CHU KANG CENTRAL,21980
24012,CHOA CHU KANG NORTH,30790
24288,KEAT HONG,39370
24564,PENG SIANG,33860
24840,TECK WHYE,24560
25116,YEW TEE,39620
25392,TOTAL,102390
25668,CLEMENTI CENTRAL,14510
25944,CLEMENTI NORTH,30800
26220,CLEMENTI WEST,14540
26496,CLEMENTI WOODS,18860
26772,FABER,8060
27048,PANDAN,20
27324,SUNSET WAY,5470
27600,TOH TUCK,20
27876,WEST COAST,10120
28152,TOTAL,4660
28428,ANSON,80
28704,BAYFRONT SUBZONE,-
28980,BUGIS,1150
29256,CECIL,540
29532,CENTRAL SUBZONE,1420
29808,CITY HALL,140
30084,CLIFFORD PIER,-
30360,MARINA CENTRE,20
30636,MAXWELL,-
30912,NICOLL,310
31188,PHILLIP,10
31464,RAFFLES PLACE,40
31740,TANJONG PAGAR,940
32016,TOTAL,116610
32292,ALJUNIED,43210
32568,GEYLANG EAST,32820
32844,KALLANG WAY,40
33120,KAMPONG UBI,13690
33396,MACPHERSON,26850
33672,TOTAL,228140
33948,DEFU INDUSTRIAL PARK,10
34224,HOUGANG CENTRAL,4720
34500,HOUGANG EAST,23800
34776,HOUGANG WEST,43700
35052,KANGKAR,35000
35328,KOVAN,27280
35604,LORONG AH SOO,31590
35880,LORONG HALUS,-
36156,TAI SENG,12950
36432,TRAFALGAR,49090
36708,TOTAL,74530
36984,INTERNATIONAL BUSINESS PARK,10
37260,JURONG GATEWAY,580
37536,JURONG PORT,-
37812,JURONG RIVER,-
38088,LAKESIDE (BUSINESS),-
38364,LAKESIDE (LEISURE),550
38640,PENJURU CRESCENT,10
38916,TEBAN GARDENS,17480
39192,TOH GUAN,13830
39468,YUHUA EAST,23530
39744,YUHUA WEST,18550
40020,TOTAL,257470
40296,BOON LAY PLACE,29510
40572,CHIN BEE,-
40848,HONG KAH,52260
41124,JURONG WEST CENTRAL,61900
41400,KIAN TECK,40
41676,SAFTI,-
41952,TAMAN JURONG,39010
42228,WENYA,8180
42504,YUNNAN,66560
42780,TOTAL,100560
43056,BENDEMEER,36790
43332,BOON KENG,11980
43608,CRAWFORD,7700
43884,GEYLANG BAHRU,10400
44160,KALLANG BAHRU,20
44436,KAMPONG BUGIS,1630
